name,type,founding_family_or_principal,hq_city,hq_state,hq_country,aum_estimate_usd_billions,founded_year,crd_number,employees_estimate,source,notes,confidence_score
Tecity Group,SFO,Tan Chin Tuan Family,Singapore,,Singapore,1.5,1975,,,Research Report,Descendants of banker and philanthropist Tan Chin Tuan; former OCBC Bank chairman 1966-1983; wealth origin is banking; includes Straits Trading Company and Tan Chin Tuan Foundation,80
Tsao Family Office Pte. Ltd.,SFO,Tsao Family (Frank Tsao / IMC Group),Singapore,,Singapore,,2016,,,Research Report,Manages multi-generational wealth of IMC Group Asian shipping and industrial enterprise; holds Capital Markets Services license with MAS,80
Sunrise Capital Management Pte. Ltd.,SFO,Shu Ping / Zhang Yong,Singapore,,Singapore,7.7,2019,,,Research Report,Co-founders of Haidilao International Holding hotpot restaurant chain; Shu Ping is sole shareholder/director; wealth origin is F&B/restaurant empire,85
XIN Enterprise Pte. Ltd.,SFO,Liang Xinjun,Singapore,,Singapore,,,,,Research Report,Co-founder and former vice chairman/CEO of Fosun International Chinese conglomerate; resigned from Fosun in 2017; relocated to Singapore; focused on blockchain and AI investments,70
Golden Vision Capital,SFO,Widjaja Family (Sinar Mas Group),Singapore,,Singapore,,2021,,,Research Report,Founding family of Sinar Mas Group Indonesian conglomerate spanning palm oil/real estate/financial services; MAS-licensed office established 2021; one of Indonesia's wealthiest dynasties,70
DW Capital Holdings Pte. Ltd.,SFO,Chen Zhi (Prince Holding Group),Singapore,,Singapore,,2018,,,Research Report,US Treasury SDN-sanctioned October 2025; claimed MAS 13X tax incentive; investigated for regulatory violations; tax incentives suspended by Singapore government; included for documentary completeness,65
RB Capital,SFO,Kishin RK / Raj Kumar,Singapore,,Singapore,3,,,,Research Report,Singapore property dynasty; wealth origin is Royal Brothers/Royal Holdings real estate empire with 77-year history; expanded with Abu Dhabi family office in 2024,72
Lyndal Stephels Greth Family Office,SFO,Lyndal Stephels Greth,Midland,TX,US,,,,,Forbes,Endeavor Energy Resources founder/chair; oil exploration and production acquired by Diamondback Energy 2024,55
Ellison Family Office,SFO,Larry Ellison,Woodside,CA,US,,,,,Forbes,Oracle co-founder and executive chairman; primary asset is Oracle equity stake,55
Buffett Family Office,SFO,Warren Buffett,Omaha,NE,US,,,,,Forbes,Berkshire Hathaway founder and chairman; personal wealth held through Berkshire shares,55
Page Family Office,SFO,Larry Page,Palo Alto,CA,US,,,,,Forbes,Google/Alphabet co-founder; primary asset is Alphabet equity,55
Huang Family Office,SFO,Jensen Huang,Los Altos,CA,US,,,,,Forbes,Nvidia co-founder and CEO; primary asset is Nvidia equity stake,55
Yass Family Office,SFO,Jeff Yass,Bala Cynwyd,PA,US,,,,,Forbes,Susquehanna International Group co-founder; trading and quantitative investments,55
Schwarzman Family Office,SFO,Stephen Schwarzman,New York,NY,US,,,,,Forbes,Blackstone co-founder and CEO; primary wealth from Blackstone equity and carried interest,55
Citadel Family Office,SFO,Ken Griffin,Palm Beach,FL,US,,,,,Forbes,Citadel hedge fund founder; primary wealth from Citadel and Citadel Securities,55
Peterffy Family Office,SFO,Thomas Peterffy,Palm Beach,FL,US,,,,,Forbes,Interactive Brokers founder; digital trading pioneer; primary asset is Interactive Brokers equity,55
Knight Family Office,SFO,Phil Knight,Portland,OR,US,,,,,Forbes,Nike co-founder and chairman emeritus; primary wealth from Nike equity,55
Adelson Family Office,SFO,Miriam Adelson,Las Vegas,NV,US,,,,,Forbes,Las Vegas Sands majority owner inherited from Sheldon Adelson; gaming and hospitality,55
Tepper Family Office,SFO,David Tepper,Miami Beach,FL,US,,,,,Forbes,Appaloosa Management hedge fund founder; also owns Carolina Panthers and Charlotte FC,55
Cohen Family Office,SFO,Steve Cohen,Greenwich,CT,US,,,,,Forbes,Point72 Asset Management founder; also owns New York Mets; former SAC Capital,55
Lauren Family Office,SFO,Ralph Lauren,New York,NY,US,,,,,Forbes,Ralph Lauren Corporation founder and chairman; primary wealth from fashion empire equity,55
Elysium Management,SFO,Leon Black,New York,NY,US,,,,,Forbes,Apollo Global Management co-founder; departed Apollo 2021; personal family office is Elysium Management,70
Irvine Company Family Office,SFO,Donald Bren,Newport Beach,CA,US,,,,,Forbes,Irvine Company chairman and sole owner; largest private landowner in Orange County California,55
Koum Family Office,SFO,Jan Koum,Atherton,CA,US,,,,,Forbes,WhatsApp co-founder; sold to Facebook/Meta for $22 billion in 2014; primary wealth from Meta equity,55
Samueli Family Office,SFO,Henry Samueli,Irvine,CA,US,,,,,Forbes,Broadcom co-founder and chairman; also co-owns Anaheim Ducks,55
Roberts Family Office,SFO,George Roberts,San Francisco,CA,US,,,,,Forbes,KKR co-founder; private equity; primary wealth from KKR equity and carried interest,55
Smith Family Office,SFO,Robert Smith,Austin,TX,US,,,,,Forbes,Vista Equity Partners founder and CEO; first Black American to sign the Giving Pledge,55
Eldridge Industries,SFO,Todd Boehly,Greenwich,CT,US,,,,,Forbes,Eldridge Industries founder; Chelsea FC co-owner and LA Dodgers co-owner; diversified media and finance,70
Kraft Family Office,SFO,Robert Kraft,Foxborough,MA,US,,,,,Forbes,New England Patriots owner; Kraft Group founder; paper packaging and real estate,55
Cathy Family Office,SFO,Dan Cathy,Atlanta,GA,US,,,,,Forbes,Chick-fil-A chairman; family controls privately held fast food chain,55
Blank Family Office,SFO,Arthur Blank,Atlanta,GA,US,,,,,Forbes,Home Depot co-founder; also owns Atlanta Falcons and Atlanta United FC,55
Jones Family Office,SFO,Jerry Jones,Dallas,TX,US,,,,,Forbes,Dallas Cowboys owner and GM; wealth from oil and gas and Cowboys franchise appreciation,55
Beal Financial Family Office,SFO,Andy Beal,Dallas,TX,US,,,,,Forbes,Beal Bank founder; banking and real estate; known for high-stakes poker,55
Fisher Investments Family Office,SFO,Ken Fisher,Dallas,TX,US,,,,,Forbes,Fisher Investments founder; wealth management firm with hundreds of billions in AUM; son of Philip Fisher,55
Fertitta Family Office,SFO,Tilman Fertitta,Houston,TX,US,,,,,Forbes,Landry's Inc founder; also owns Houston Rockets; hospitality and entertainment,55
Friedkin Family Office,SFO,Dan Friedkin,Houston,TX,US,,,,,Forbes,Gulf States Toyota and The Friedkin Group chairman; also owns AS Roma soccer club,55
Warren Family Office,SFO,Kelcy Warren,Dallas,TX,US,,,,,Forbes,Energy Transfer co-CEO and founder; midstream pipeline energy,55
Butt Family Office,SFO,Charles Butt,San Antonio,TX,US,,,,,Forbes,H-E-B chairman; privately held Texas supermarket chain founded by family in 1905,55
Gebbia Family Office,SFO,Joe Gebbia,Austin,TX,US,,,,,Forbes,Airbnb co-founder; stepped back from day-to-day role in 2022; primary wealth from Airbnb equity,55
Ackman Family Office,SFO,Bill Ackman,New York,NY,US,,,,,Forbes,Pershing Square Capital Management founder; activist hedge fund; also controls Pershing Square Holdings,55
Geffen Family Office,SFO,David Geffen,Los Angeles,CA,US,,,,,Forbes,DreamWorks co-founder; Geffen Records founder; entertainment and art collection,55
Hunt Family Office,SFO,Ray Lee Hunt,Dallas,TX,US,,,,,Forbes,Hunt Oil founder's son; oil and real estate; Hunt Consolidated CEO,55
Rollins Family Office,SFO,Gary Rollins,Atlanta,GA,US,,,,,Forbes,Rollins Inc chairman; Orkin pest control and other services; inherited family pest control empire,55
Rowling Family Office,SFO,Robert Rowling,Dallas,TX,US,,,,,Forbes,TRT Holdings owner; Omni Hotels and Gold's Gym; energy and hospitality,55
Garcia Family Office,SFO,Ernest Garcia II,Phoenix,AZ,US,,,,,Forbes,DriveTime Automotive founder; father of Ernest Garcia III/Carvana; majority Carvana stakeholder,55
Duncan Family Office,SFO,Scott Duncan,Houston,TX,US,,,,,Forbes,Enterprise Products Partners heir; inherited wealth from Dan Duncan; energy pipelines,55
McNair Family Office,SFO,Janice McNair,Houston,TX,US,,,,,Forbes,Houston Texans majority owner; inherited from Bob McNair; energy background,55
Graves Family Office,SFO,Todd Graves,Baton Rouge,LA,US,,,,,Forbes,Raising Cane's Chicken Fingers founder and CEO; privately held fast food chain,55
Cancro Family Office,SFO,Peter Cancro,Manasquan,NJ,US,,,,,Forbes,Jersey Mike's Subs founder and CEO; bought the chain at age 17; privately held,55
DeLuca Family Office,SFO,Elisabeth DeLuca,Fort Lauderdale,FL,US,,,,,Forbes,Subway co-founder widow; inherited stake from Fred DeLuca; privately held sandwich chain,55
Liemandt Family Office,SFO,Joe Liemandt,Austin,TX,US,,,,,Forbes,Trilogy Software and ESW Capital founder; enterprise software roll-up strategy,55
Beveridge Family Office,SFO,Bert Beveridge,Austin,TX,US,,,,,Forbes,Tito's Handmade Vodka founder; privately held spirits company based in Austin Texas,55
Walter Family Office,SFO,Mark Walter,Chicago,IL,US,,,,,Forbes,Guggenheim Partners co-founder; also owns LA Dodgers and Chelsea FC stake; diversified finance,55
Dantchik Family Office,SFO,Arthur Dantchik,Philadelphia,PA,US,,,,,Forbes,Susquehanna International Group co-founder with Jeff Yass; quantitative trading,55
Perlmutter Family Office,SFO,Ike Perlmutter,Palm Beach,FL,US,,,,,Forbes,Former Marvel Entertainment chairman; sold majority to Disney 2009; Disney stock and real estate,55
Randa Duncan Williams Family Office,SFO,Randa Duncan Williams,Houston,TX,US,,,,,Forbes,Enterprise Products Partners chairman; inherited from father Dan Duncan; energy pipelines,55
Bishop Family Office,SFO,George Bishop,The Woodlands,TX,US,,,,,Forbes,Oil and gas exploration executive; primary wealth from energy exploration assets,55
